# 2026 BEAT《托福必考2000词》List 01-30
# 格式：单词 | 音标 | 中文释义 | 词性 | 例句（可选）
# PDF 原文未提供例句，因此例句字段暂留空。

[List 01]
summary | ['sʌməri] | 总结; 概要 | n. |
species | ['spiʃiz] | 物种 | n. |
indicate | ['indikeit] | 指示, 表明 | v. |
essential | [i'sen∫əl] | 本质的, 基本的 | adj. |
region | ['ri:dӡən] | 区域, 领域 | n. |
fossil | ['fɔsl] | 化石 | n. |
even | ['i:vən] | 偶数的；甚至, 即使；平等均分 | adj. adv. v. |
temperature | ['temprɪt∫ə(r)] | 温度 | n. |
select | [si'lekt] | 选择, 挑选 | vt. |
brief | [bri:f] | 摘要, 简介；短暂的 | n. v. adj. |
planet | ['plænɪt] | 行星 | n. |
predator | ['predətə] | 掠夺者; 食肉动物 | n. |
sound | [saund] | 健康的；声音；听起来 | adj. n. v. |
community | [kə'mju:niti] | 社区; 社团; 生物群落 | n. |
minor | ['mainə] | 辅修；较小的 | n. adj. |
rate | [reit] | 比率; 速度；估价; 定级 | n. v. |
factor | ['fæktə] | 因素; 代理人 | n. |
ancient | ['ein∫ənt] | 古代的; 过时的；古代人 | adj. n. |
organism | ['ɔ:ɡənizəm] | 生物, 有机体 | n. |
flow | [fləu] | 流动; 流程 | n. |
yawn | [jɔ:n] | 打呵欠 | v. |
highlight | ['haɪlaɪt] | 显著强调 | n. v. |
termite | ['tə:mait] | 白蚁 | n. |
infant | ['infənt] | 婴幼儿 | n. |
source | [sɔ:s] | 来源, 源头 | n. |
crop | [krɔp] | 农作物, 庄稼；种植收获 | n. v. |
create | [kri'eit] | 创造发明 | v. |
extinction | [iks'tiŋk∫ən] | 灭绝 | n. |
resource | [ri'sɔ:s] | 资源; 财力物力 | n. |
groundwater | ['graʊnd'wɔtɚ] | 地下水 | n. |
layer | ['leiə] | 层；分层 | n. v. |
event | [i'vent] | 事件活动 | n. |
affect | [ə'fekt] | 影响, 感动；感情 | vt. n. |
sediment | ['sedimənt] | 沉淀(物) | n. |
involve | [in'vɔlv] | 包含, 牵涉, 介入 | v. |
determine | [di'tə:min] | 确定, 下决心 | v. |
deposit | [di'pɔzit] | 沉淀(物); 存款 | n. v. |
mean | [mi:n] | 表示; 打算；平均数；刻薄的 | v. n. adj. |
cycle | ['saikl] | 周期, 循环 | n. |
pottery | ['pɔtəri] | 陶器 | n. |
pacific | [pə'sifik] | 和平的; 平静的；(Pacific 太平洋) | adj. |
glacier | [ˈgleɪʃər] | 冰川 | n. |
individual | [͵indi'vidjuəl] | 个人；单独个体的 | n. adj. |
rub | [rʌb] | 摩擦 | v. |
gas | [ɡæs] | 气体; 汽油; 瓦斯 | n. |
signal | ['siɡnl] | 信号 | n. |
site | [sait] | 地点, 遗址；坐落安置于 | n. v. |
behavior | [bi'heivjə] | 举止, 行为 | n. |
aquifer | ['ækwifə] | 蓄水层 | n. |
beg | [beɡ] | 乞讨; 恳求(原谅) | v. |
charge | [t∫ɑ:dӡ] | 费用; 掌管; 电荷；装满; 充电 | n. v. |
hypothesis | [hai'pɔθisis] | 假设 | n. |
